ts_code,name,trade_date,asof_time,strategy_type,open,low_0930_1000,low_0930_1000_pct,close_0959,close_0959_pct,cross_time,cross_minutes,last_close,pct_from_open,recent_deepdrop_rebound_total,recent_deepdrop_rebound_yesterday,recent_deepdrop_rebound_daybefore,bonus_points,score,reason
002300.SZ,太阳电缆,20260311,10:19,standard,11.66,11.2,-3.9451114922813106,11.64,-0.17152658662092257,10:02,32,11.84,1.5437392795883338,1.0,1.0,0.0,1.2,2.7437392795883335,"standard策略:前30分钟回撤-3.95%,随后站上开盘价并稳住"
600956.SH,新天绿能,20260311,10:19,standard,8.13,7.98,-1.845018450184506,8.04,-1.1070110701107212,10:05,35,8.34,2.5830258302582907,0.0,0.0,0.0,0.0,2.5830258302582907,"standard策略:前30分钟回撤-1.85%,随后站上开盘价并稳住"
600956.SH,新天绿能,20260311,10:19,volume_validated,8.13,7.98,-1.845018450184506,8.04,-1.1070110701107212,10:05,35,8.34,2.5830258302582907,0.0,0.0,0.0,0.0,2.5830258302582907,"volume_validated策略:前30分钟回撤-1.85%,随后站上开盘价并稳住"
002335.SZ,科华数据,20260311,10:19,standard,69.82,68.01,-2.5923804067602236,69.68,-0.20051561157259576,10:09,39,71.12,1.8619306788885872,0.6,0.0,1.0,0.72,2.581930678888587,"standard策略:前30分钟回撤-2.59%,随后站上开盘价并稳住"
600773.SH,西藏城投,20260311,10:19,standard,16.4,16.24,-0.9756097560975618,16.24,-0.9756097560975618,10:02,32,16.77,2.2560975609756158,0.0,0.0,0.0,0.0,2.2560975609756158,"standard策略:前30分钟回撤-0.98%,随后站上开盘价并稳住"
600773.SH,西藏城投,20260311,10:19,deep_v,16.4,16.24,-0.9756097560975618,16.24,-0.9756097560975618,10:04,34,16.77,2.2560975609756158,0.0,0.0,0.0,0.0,2.2560975609756158,"deep_v策略:前30分钟回撤-0.98%,随后站上开盘价并稳住"
000027.SZ,深圳能源,20260311,10:19,standard,7.07,6.96,-1.5558698727015603,7.06,-0.141442715700151,10:01,31,7.2,1.838755304101837,0.0,0.0,0.0,0.0,1.838755304101837,"standard策略:前30分钟回撤-1.56%,随后站上开盘价并稳住"
300979.SZ,华利集团,20260311,10:19,standard,46.89,46.7,-0.40520366815951747,46.86,-0.06397952655150595,10:09,39,47.74,1.8127532522926026,0.0,0.0,0.0,0.0,1.8127532522926026,"standard策略:前30分钟回撤-0.41%,随后站上开盘价并稳住"
002993.SZ,奥海科技,20260311,10:19,standard,50.43,49.82,-1.2095974618282757,49.92,-1.011302795954785,10:08,38,51.34,1.8044814594487484,0.0,0.0,0.0,0.0,1.8044814594487484,"standard策略:前30分钟回撤-1.21%,随后站上开盘价并稳住"
000723.SZ,美锦能源,20260311,10:19,standard,5.28,5.22,-1.1363636363636458,5.26,-0.3787878787878875,10:03,33,5.37,1.7045454545454517,0.0,0.0,0.0,0.0,1.7045454545454517,"standard策略:前30分钟回撤-1.14%,随后站上开盘价并稳住"
